1thExec, 2thExec, 3rdExec, 4thExec, 5thExec
3.467815, 3.427536, 3.439577, 3.434141, 3.447380 
2.385377, 2.382812, 2.371132, 2.364191, 2.379353 
1.521950, 1.523711, 1.658374, 1.504463, 1.509258 
1.510809, 1.507622, 1.500294, 1.502210, 1.524344 
1.536530, 1.535106, 1.543689, 1.528773, 1.538321 
1.524455, 1.542158, 1.537158, 1.535404, 1.532570 
1.546580, 2.062814, 1.826283, 1.669020, 1.533597 
1.526668, 1.539877, 1.535186, 1.541073, 1.605699 
