1thExec, 2thExec, 3rdExec, 4thExec, 5thExec
3.480198, 3.487426, 3.479394, 3.480437, 3.502502 
2.381627, 2.374133, 2.383641, 2.380004, 2.383912 
1.509336, 1.510301, 1.509983, 1.501252, 1.510047 
1.498945, 1.514415, 1.504929, 1.502260, 1.500864 
1.536305, 1.529059, 1.537596, 1.529602, 1.533500 
1.526134, 1.533497, 1.524206, 1.527898, 1.533047 
1.553020, 1.526979, 1.533012, 1.533316, 1.523064 
1.528857, 1.535510, 1.638932, 1.566311, 1.550711 
