1thExec, 2thExec, 3rdExec, 4thExec, 5thExec
3.439473, 3.407511, 3.416356, 3.406637, 3.419941 
2.060215, 2.078025, 2.075265, 2.055757, 2.048284 
1.541020, 1.543701, 1.541604, 1.551050, 1.564720 
1.540897, 1.539823, 1.548083, 1.541498, 1.550073 
1.753227, 1.759561, 1.752865, 1.755397, 1.747896 
1.940451, 1.957785, 1.921439, 1.948210, 1.988102 
2.156811, 2.188647, 2.200001, 2.165016, 2.176185 
2.257939, 2.302430, 2.260614, 2.183197, 2.296236 
