1thExec, 2thExec, 3rdExec, 4thExec, 5thExec
3.474989, 3.508038, 3.450104, 3.457330, 3.452891 
2.384679, 2.386940, 2.388964, 2.398767, 2.468352 
1.515704, 1.552295, 1.600899, 1.532538, 1.539963 
1.561709, 1.516645, 1.534566, 1.533799, 1.585950 
1.605587, 1.583356, 1.571446, 1.562995, 1.569665 
1.570452, 1.592420, 1.575144, 1.545850, 1.548191 
1.552238, 1.532236, 1.570711, 1.576220, 1.580367 
1.579115, 1.606180, 1.544223, 1.549160, 1.577687 
