1thExec, 2thExec, 3rdExec, 4thExec, 5thExec
3.447785, 3.400408, 3.404974, 3.400396, 3.406983
2.233016, 2.230810, 2.229410, 2.224357, 2.229328
1.828853, 1.822799, 1.834037, 1.832832, 1.833221
1.703201, 1.700597, 1.704625, 1.700960, 1.705006
1.524613, 1.536534, 1.560720, 1.535936, 1.521121
1.513973, 1.519291, 1.516623, 1.532902, 1.545599
1.529174, 1.525798, 1.514058, 1.523670, 1.522215
1.540827, 1.518257, 1.521580, 1.519190, 1.528305
